Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,country,education,gender,age,married,familysize,soma_depressao,indice_depressao
1,2,1,2,2,2,1,1,2,1,1,1,1,1,26,3,2,23,1,3,19,2
0,0,0,1,2,0,0,1,2,1,0,0,1,2,2,3,1,32,2,6,10,1
1,2,3,3,3,3,2,3,3,2,3,3,1,2,29,3,2,25,1,3,34,4
0,0,1,1,1,1,1,1,2,1,2,1,1,3,14,2,1,35,1,2,16,2
3,2,3,3,3,3,2,3,3,3,3,3,3,2,1,3,1,25,1,5,39,4
2,1,3,3,2,3,3,1,3,2,3,3,3,1,1,4,2,29,1,3,33,4
0,1,0,1,0,1,0,0,0,0,1,0,0,0,3,3,2,21,1,2,4,0
1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,3,2,40,2,4,6,0
2,2,3,3,2,3,3,2,3,2,3,3,3,3,1,4,1,24,1,2,37,4
0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,1,24,1,2,2,0
3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,2,22,1,3,41,4
1,1,1,2,3,1,1,3,2,3,1,1,0,3,2,2,2,34,1,4,23,3
1,2,1,3,1,1,1,1,1,1,2,1,0,2,1,2,2,19,1,4,18,2
2,3,2,3,1,3,3,3,3,2,3,2,1,2,43,1,2,18,1,4,33,4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,42,3,4,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,25,1,5,1,0
3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,2,22,1,3,41,4
0,0,0,1,1,2,0,1,0,0,1,1,0,1,1,2,1,18,1,3,8,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,25,1,2,42,4
1,2,1,1,1,1,1,2,0,2,1,1,1,2,1,3,2,27,2,3,17,2
2,1,1,1,2,3,1,1,1,1,3,2,1,1,1,2,1,19,1,4,21,3
1,1,2,1,0,2,1,0,1,1,2,1,1,1,1,2,2,18,1,3,15,2
1,0,3,2,3,2,1,2,1,3,3,0,3,3,1,2,1,21,1,4,27,3
1,0,2,0,1,2,1,3,2,1,0,0,0,3,1,3,2,24,1,4,16,2
0,1,0,1,1,1,2,2,1,1,2,0,2,3,13,2,1,19,1,2,17,2
1,3,1,2,2,1,2,0,2,2,1,1,2,3,1,3,1,26,1,3,23,3
2,2,2,3,3,1,1,2,3,2,2,2,2,3,15,3,2,45,1,2,30,4
1,2,3,3,3,2,1,1,2,3,3,2,1,2,1,2,2,19,1,5,29,4
2,3,3,3,2,3,2,2,3,2,2,1,2,3,15,2,2,21,1,2,33,4
2,2,2,2,2,3,2,1,2,2,2,2,1,2,1,3,2,24,1,5,27,3
1,1,1,3,2,0,0,2,1,0,1,1,1,3,1,3,1,22,1,7,17,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3,1,23,1,2,1,0
2,2,3,3,2,3,3,2,2,3,3,3,2,3,2,3,1,37,1,1,36,4
3,3,2,2,3,2,2,3,2,2,1,2,3,3,20,2,2,24,1,1,33,4
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,2,22,1,4,2,0
0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,3,2,23,1,4,5,0
2,2,2,3,2,1,1,3,2,3,1,2,1,3,1,3,2,20,1,7,28,4
