Q3A,Q5A,Q10A,Q13A,Q16A,Q17A,Q21A,Q24A,Q26A,Q31A,Q34A,Q37A,Q38A,Q42A,gender,country,education,age,religion,orientation,married,familysize
2,4,1,4,4,3,1,4,4,4,3,1,2,4,2,IN,2,16,12,1,1,2
2,4,2,4,3,4,2,2,3,2,2,4,2,2,2,US,2,16,7,0,1,4
4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,PL,2,17,4,3,1,3
2,3,3,1,2,3,1,1,2,3,4,2,1,2,2,US,1,13,4,5,1,5
3,4,3,4,3,4,3,2,4,3,4,3,3,3,2,MY,3,19,10,1,1,4
2,3,2,1,4,2,1,2,1,2,1,2,2,2,2,US,2,20,4,1,1,4
2,4,4,2,4,2,4,3,2,4,3,4,4,3,2,MX,2,17,7,2,1,4
1,3,1,1,1,1,1,1,2,1,1,1,1,2,2,GB,4,29,2,2,1,2
3,3,3,4,4,3,3,3,4,4,4,4,3,4,1,US,2,16,12,2,1,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,DE,1,18,2,2,1,3
2,3,1,2,3,2,1,3,1,3,2,1,2,2,1,US,1,15,6,1,1,1
2,4,3,3,1,3,2,2,3,2,3,1,2,2,2,US,2,18,6,1,1,2
1,1,3,3,3,3,3,2,3,1,2,4,2,2,2,US,3,20,1,1,1,2
1,3,1,4,3,4,1,3,1,2,1,1,1,3,1,EE,4,31,12,1,1,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,US,3,34,1,1,3,2
2,2,2,2,2,3,2,2,3,2,2,2,1,3,2,US,2,17,1,2,1,1
2,1,1,3,1,3,1,2,4,1,1,1,1,3,2,US,2,19,7,1,1,2
2,2,2,2,3,2,2,2,2,3,2,2,1,1,2,GB,3,18,12,1,1,5
2,3,2,1,3,1,1,3,1,3,1,1,2,4,1,US,2,19,2,1,1,1
2,4,2,3,2,2,3,3,3,2,2,3,2,4,2,US,2,19,4,2,1,2
2,2,2,3,1,2,1,1,3,1,2,1,1,2,2,US,1,15,4,1,1,5
2,3,3,2,3,2,2,4,2,3,2,2,2,3,1,US,1,15,6,1,1,1
3,3,4,4,3,4,4,3,4,3,4,4,4,3,2,CA,2,22,1,2,1,1
2,1,2,3,2,2,2,2,3,3,3,2,1,4,2,EC,2,19,4,1,1,3
2,3,2,3,3,2,2,2,4,2,2,3,2,3,1,AU,2,20,7,1,1,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,1,16,1,4,1,2
4,4,3,4,3,4,3,4,4,4,4,4,3,4,2,US,1,15,7,1,1,3
1,1,2,3,3,2,1,4,2,1,1,1,1,1,2,US,2,16,7,2,1,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,US,2,19,1,2,1,2
2,1,2,1,3,1,2,3,1,1,1,2,2,1,2,US,2,16,1,5,1,3
3,3,2,3,2,3,2,4,3,2,3,3,3,2,1,US,2,19,8,1,1,2
2,4,2,4,2,4,4,3,4,1,4,2,4,4,1,US,2,18,2,1,1,3
1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,US,3,42,6,1,1,4
2,1,1,2,2,1,1,2,3,2,2,1,1,3,2,CA,2,15,1,1,1,2
2,1,1,2,3,3,1,2,1,2,3,1,2,4,1,FI,2,17,1,1,1,2
1,2,1,2,3,1,2,2,3,1,2,2,3,3,2,ID,2,17,1,2,1,4
1,2,4,3,2,4,4,4,4,2,3,4,4,4,2,CA,3,21,4,2,1,3
2,2,2,2,1,4,3,2,2,2,2,3,2,3,1,FI,2,23,2,1,1,2
3,2,3,4,3,2,2,3,3,2,2,2,3,3,2,AE,2,17,10,1,1,2
1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,NONE,2,26,7,1,1,3
1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,ES,3,43,4,1,1,3
3,4,3,3,3,3,3,4,4,3,2,3,4,4,2,AU,1,16,1,2,1,2
2,2,1,2,2,4,2,1,1,2,4,1,2,4,2,US,1,17,2,2,1,2
2,3,3,2,2,3,2,3,3,3,2,3,3,3,1,US,2,16,1,2,1,2
1,3,2,2,2,1,2,2,2,4,1,1,2,1,2,US,1,13,2,1,1,1
3,3,3,4,2,4,3,3,3,3,4,3,2,3,2,US,4,35,1,1,2,2
